experience_level,employment_type,salary_in_usd,company_location,company_size,job_category
Senior,Full-time,345400,United States,M,Leadership and Management
Senior,Full-time,272700,United States,M,Leadership and Management
Mid-level,Full-time,198000,United States,M,Machine Learning and AI
Mid-level,Full-time,160000,United States,M,Machine Learning and AI
Senior,Full-time,198000,United States,M,Data Engineering
Senior,Full-time,180000,United States,M,Data Engineering
Senior,Full-time,100000,United States,M,Data Analysis
Senior,Full-time,80000,United States,M,Data Analysis
Senior,Full-time,250000,United States,M,Machine Learning and AI
Senior,Full-time,200000,United States,M,Machine Learning and AI
Senior,Full-time,155000,United States,M,Data Science and Research
Senior,Full-time,139500,United States,M,Data Science and Research
Senior,Full-time,160000,United States,M,Data Architecture and Modeling
Senior,Full-time,110000,United States,M,Data Architecture and Modeling
Senior,Full-time,247600,United States,L,Data Science and Research
Senior,Full-time,127300,United States,L,Data Science and Research
Senior,Full-time,191500,United States,M,Data Science and Research
Senior,Full-time,111500,United States,M,Data Science and Research
Senior,Full-time,204800,United States,M,Data Science and Research
Senior,Full-time,115800,United States,M,Data Science and Research
Senior,Full-time,116000,United States,M,Data Science and Research
Senior,Full-time,90000,United States,M,Data Science and Research
